iin	V(vt)
4.073802778041082e-006	5.126942e-001
4.168693834703307e-006	5.132898e-001
4.265795188015879e-006	5.138854e-001
4.365158322401611e-006	5.144809e-001
4.466835921509581e-006	5.150766e-001
4.570881896148699e-006	5.156721e-001
4.677351412871930e-006	5.162677e-001
4.786300923226330e-006	5.168633e-001
4.897788193684408e-006	5.174589e-001
5.011872336272667e-006	5.180545e-001
5.128613839913591e-006	5.186501e-001
5.248074602497666e-006	5.192457e-001
5.370317963702466e-006	5.198413e-001
5.495408738576182e-006	5.204369e-001
5.623413251903426e-006	5.210325e-001
5.754399373371503e-006	5.216280e-001
5.888436553555822e-006	5.222237e-001
6.025595860743508e-006	5.228192e-001
6.165950018614750e-006	5.234149e-001
6.309573444801859e-006	5.240104e-001
6.456542290346480e-006	5.246060e-001
6.606934480075882e-006	5.252016e-001
6.760829753919738e-006	5.257972e-001
6.918309709189283e-006	5.263928e-001
7.079457843841295e-006	5.269884e-001
7.244359600749814e-006	5.275840e-001
7.413102413009087e-006	5.281796e-001
7.585775750291747e-006	5.287752e-001
7.762471166286824e-006	5.293708e-001
7.943282347242720e-006	5.299664e-001
8.128305161640895e-006	5.305620e-001
8.317637711026609e-006	5.311576e-001
8.511380382023662e-006	5.317532e-001
8.709635899560701e-006	5.323489e-001
8.912509381337346e-006	5.329444e-001
9.120108393558985e-006	5.335401e-001
9.332543007969794e-006	5.341357e-001
9.549925860214240e-006	5.347313e-001
9.772372209557984e-006	5.353269e-001
9.999999999999874e-006	5.359225e-001
1.023292992280741e-005	5.365182e-001
1.047128548050886e-005	5.371138e-001
1.071519305237593e-005	5.377094e-001
1.096478196143171e-005	5.383050e-001
1.122018454301949e-005	5.389006e-001
1.148153621496868e-005	5.394962e-001
1.174897554939514e-005	5.400919e-001
1.202264434617397e-005	5.406875e-001
1.230268770812365e-005	5.412831e-001
1.258925411794151e-005	5.418788e-001
1.288249551693117e-005	5.424744e-001
1.318256738556390e-005	5.430700e-001
1.348962882591636e-005	5.436656e-001
1.380384264602866e-005	5.442613e-001
1.412537544622735e-005	5.448569e-001
1.445439770745908e-005	5.454525e-001
1.479108388168188e-005	5.460482e-001
1.513561248436188e-005	5.466439e-001
1.548816618912460e-005	5.472395e-001
1.584893192461092e-005	5.478351e-001
1.621810097358908e-005	5.484308e-001
1.659586907437538e-005	5.490264e-001
1.698243652461721e-005	5.496221e-001
1.737800828749352e-005	5.502177e-001
1.778279410038899e-005	5.508134e-001
1.819700858609959e-005	5.514091e-001
1.862087136662842e-005	5.520047e-001
1.905460717963221e-005	5.526004e-001
1.949844599758019e-005	5.531960e-001
1.995262314968852e-005	5.537917e-001
2.041737944669501e-005	5.543874e-001
2.089296130854011e-005	5.549830e-001
2.137962089502203e-005	5.555787e-001
2.187761623949522e-005	5.561744e-001
2.238721138568308e-005	5.567701e-001
2.290867652767741e-005	5.573658e-001
2.344228815319889e-005	5.579615e-001
2.398832919019457e-005	5.585572e-001
2.454708915684996e-005	5.591528e-001
2.511886431509545e-005	5.597485e-001
2.570395782768827e-005	5.603442e-001
2.630267991895345e-005	5.609399e-001
2.691534803926877e-005	5.615356e-001
2.754228703338127e-005	5.621313e-001
2.818382931264414e-005	5.627270e-001
2.884031503126565e-005	5.633227e-001
2.951209226666343e-005	5.639185e-001
3.019951720401973e-005	5.645142e-001
3.090295432513546e-005	5.651099e-001
3.162277660168334e-005	5.657057e-001
3.235936569296236e-005	5.663014e-001
3.311311214825863e-005	5.668971e-001
3.388441561391976e-005	5.674928e-001
3.467368504525266e-005	5.680886e-001
3.548133892335703e-005	5.686843e-001
3.630780547700960e-005	5.692801e-001
3.715352290971670e-005	5.698758e-001
3.801893963205555e-005	5.704716e-001
3.890451449942748e-005	5.710674e-001
3.981071705534913e-005	5.716631e-001
4.073802778041066e-005	5.722589e-001
4.168693834703292e-005	5.728547e-001
4.265795188015863e-005	5.734505e-001
4.365158322401594e-005	5.740463e-001
4.466835921509564e-005	5.746421e-001
4.570881896148682e-005	5.752379e-001
4.677351412871912e-005	5.758337e-001
4.786300923226311e-005	5.764295e-001
4.897788193684388e-005	5.770254e-001
5.011872336272647e-005	5.776212e-001
5.128613839913570e-005	5.782170e-001
5.248074602497645e-005	5.788128e-001
5.370317963702444e-005	5.794087e-001
5.495408738576161e-005	5.800045e-001
5.623413251903404e-005	5.806004e-001
5.754399373371480e-005	5.811962e-001
5.888436553555799e-005	5.817921e-001
6.025595860743484e-005	5.823880e-001
6.165950018614726e-005	5.829839e-001
6.309573444801834e-005	5.835798e-001
6.456542290346454e-005	5.841757e-001
6.606934480075856e-005	5.847716e-001
6.760829753919712e-005	5.853675e-001
6.918309709189257e-005	5.859634e-001
7.079457843841269e-005	5.865594e-001
7.244359600749787e-005	5.871553e-001
7.413102413009058e-005	5.877513e-001
7.585775750291718e-005	5.883472e-001
7.762471166286795e-005	5.889432e-001
7.943282347242689e-005	5.895392e-001
8.128305161640863e-005	5.901352e-001
8.317637711026578e-005	5.907311e-001
8.511380382023629e-005	5.913272e-001
8.709635899560667e-005	5.919232e-001
8.912509381337312e-005	5.925192e-001
9.120108393558951e-005	5.931153e-001
9.332543007969761e-005	5.937113e-001
9.549925860214206e-005	5.943074e-001
9.772372209557950e-005	5.949035e-001
9.999999999999839e-005	5.954996e-001
1.023292992280738e-004	5.960956e-001
1.047128548050883e-004	5.966918e-001
1.071519305237589e-004	5.972879e-001
1.096478196143167e-004	5.978840e-001
1.122018454301945e-004	5.984802e-001
1.148153621496864e-004	5.990763e-001
1.174897554939510e-004	5.996725e-001
1.202264434617393e-004	6.002687e-001
1.230268770812361e-004	6.008649e-001
1.258925411794147e-004	6.014612e-001
1.288249551693113e-004	6.020574e-001
1.318256738556385e-004	6.026536e-001
