vin	V(vout)
Step Information: Run=1  (Run: 1/500)
8.000000000000002e-001	2.727506e-001
8.500000000000002e-001	2.897975e-001
9.000000000000002e-001	3.068444e-001
9.500000000000003e-001	3.238913e-001
1.000000000000000e+000	3.409382e-001
1.050000000000000e+000	3.579851e-001
1.100000000000000e+000	3.750320e-001
1.150000000000000e+000	3.920789e-001
1.200000000000000e+000	4.091258e-001
1.250000000000000e+000	4.261727e-001
1.300000000000001e+000	4.432196e-001
1.350000000000001e+000	4.602666e-001
1.400000000000001e+000	4.773135e-001
1.450000000000001e+000	4.943604e-001
1.500000000000001e+000	5.114073e-001
1.550000000000001e+000	5.284542e-001
1.600000000000001e+000	5.455011e-001
1.650000000000001e+000	5.625480e-001
1.700000000000001e+000	5.795949e-001
1.750000000000001e+000	5.966418e-001
1.800000000000001e+000	6.136887e-001
1.850000000000001e+000	6.307356e-001
1.900000000000001e+000	6.477826e-001
1.950000000000001e+000	6.648294e-001
2.000000000000001e+000	6.818764e-001
2.050000000000001e+000	6.989233e-001
2.100000000000001e+000	7.159702e-001
2.150000000000000e+000	7.330171e-001
2.200000000000000e+000	7.500640e-001
2.250000000000000e+000	7.671109e-001
2.300000000000000e+000	7.841578e-001
2.350000000000000e+000	8.012047e-001
2.400000000000000e+000	8.182516e-001
2.449999999999999e+000	8.352985e-001
2.499999999999999e+000	8.523455e-001
2.549999999999999e+000	8.693924e-001
2.599999999999999e+000	8.864393e-001
2.649999999999999e+000	9.034862e-001
2.699999999999998e+000	9.205331e-001
2.749999999999998e+000	9.375800e-001
2.799999999999998e+000	9.546269e-001
2.849999999999998e+000	9.716738e-001
2.899999999999998e+000	9.887207e-001
2.949999999999998e+000	1.005768e+000
2.999999999999997e+000	1.022815e+000
3.049999999999997e+000	1.039861e+000
3.099999999999997e+000	1.056908e+000
3.149999999999997e+000	1.073955e+000
3.199999999999997e+000	1.091002e+000
3.249999999999996e+000	1.108049e+000
3.299999999999996e+000	1.125096e+000
3.349999999999996e+000	1.142143e+000
3.399999999999996e+000	1.159190e+000
3.449999999999996e+000	1.176237e+000
3.499999999999996e+000	1.193284e+000
3.549999999999995e+000	1.210331e+000
3.599999999999995e+000	1.227377e+000
3.649999999999995e+000	1.244424e+000
3.699999999999995e+000	1.261471e+000
3.749999999999995e+000	1.278518e+000
3.799999999999995e+000	1.295565e+000
3.849999999999994e+000	1.312612e+000
3.899999999999994e+000	1.329659e+000
3.949999999999994e+000	1.346706e+000
3.999999999999994e+000	1.363753e+000
4.049999999999994e+000	1.380800e+000
4.099999999999993e+000	1.397847e+000
4.149999999999993e+000	1.414894e+000
4.199999999999993e+000	1.431940e+000
4.249999999999993e+000	1.448987e+000
4.299999999999993e+000	1.466034e+000
4.349999999999993e+000	1.483081e+000
4.399999999999992e+000	1.500128e+000
4.449999999999992e+000	1.517175e+000
4.499999999999992e+000	1.534222e+000
4.549999999999992e+000	1.551269e+000
4.599999999999992e+000	1.568316e+000
4.649999999999992e+000	1.585363e+000
4.699999999999991e+000	1.602409e+000
4.749999999999991e+000	1.619456e+000
4.799999999999991e+000	1.636503e+000
4.849999999999991e+000	1.653550e+000
4.899999999999991e+000	1.670597e+000
4.949999999999990e+000	1.687644e+000
5.000000000000000e+000	1.704691e+000
Step Information: Run=7  (Run: 7/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.655671e-002
1.000000000000000e-001	3.311342e-002
1.500000000000000e-001	4.967013e-002
2.000000000000000e-001	6.622684e-002
2.500000000000000e-001	8.278356e-002
3.000000000000000e-001	9.934027e-002
3.500000000000000e-001	1.158970e-001
4.000000000000000e-001	1.324537e-001
4.500000000000000e-001	1.490104e-001
4.999999999999999e-001	1.655671e-001
5.499999999999999e-001	1.821238e-001
6.000000000000000e-001	1.986805e-001
6.500000000000000e-001	2.152372e-001
7.000000000000001e-001	2.317940e-001
7.500000000000001e-001	2.483507e-001
8.000000000000002e-001	2.649074e-001
8.500000000000002e-001	2.814641e-001
9.000000000000002e-001	2.980208e-001
9.500000000000003e-001	3.145775e-001
1.000000000000000e+000	3.311342e-001
1.050000000000000e+000	3.476909e-001
1.100000000000000e+000	3.642476e-001
1.150000000000000e+000	3.808044e-001
1.200000000000000e+000	3.973611e-001
1.250000000000000e+000	4.139178e-001
1.300000000000001e+000	4.304745e-001
1.350000000000001e+000	4.470312e-001
1.400000000000001e+000	4.635879e-001
1.450000000000001e+000	4.801446e-001
1.500000000000001e+000	4.967013e-001
1.550000000000001e+000	5.132580e-001
1.600000000000001e+000	5.298147e-001
1.650000000000001e+000	5.463715e-001
1.700000000000001e+000	5.629281e-001
1.750000000000001e+000	5.794849e-001
1.800000000000001e+000	5.960416e-001
1.850000000000001e+000	6.125983e-001
1.900000000000001e+000	6.291550e-001
1.950000000000001e+000	6.457117e-001
2.000000000000001e+000	6.622685e-001
2.050000000000001e+000	6.788251e-001
2.100000000000001e+000	6.953819e-001
2.150000000000000e+000	7.119386e-001
2.200000000000000e+000	7.284953e-001
2.250000000000000e+000	7.450520e-001
2.300000000000000e+000	7.616087e-001
2.350000000000000e+000	7.781654e-001
2.400000000000000e+000	7.947221e-001
2.449999999999999e+000	8.112788e-001
2.499999999999999e+000	8.278356e-001
2.549999999999999e+000	8.443922e-001
2.599999999999999e+000	8.609490e-001
2.649999999999999e+000	8.775057e-001
2.699999999999998e+000	8.940624e-001
2.749999999999998e+000	9.106191e-001
2.799999999999998e+000	9.271758e-001
2.849999999999998e+000	9.437325e-001
2.899999999999998e+000	9.602892e-001
2.949999999999998e+000	9.768459e-001
2.999999999999997e+000	9.934027e-001
3.049999999999997e+000	1.009959e+000
3.099999999999997e+000	1.026516e+000
3.149999999999997e+000	1.043073e+000
3.199999999999997e+000	1.059629e+000
3.249999999999996e+000	1.076186e+000
3.299999999999996e+000	1.092743e+000
3.349999999999996e+000	1.109300e+000
3.399999999999996e+000	1.125856e+000
3.449999999999996e+000	1.142413e+000
3.499999999999996e+000	1.158970e+000
3.549999999999995e+000	1.175526e+000
3.599999999999995e+000	1.192083e+000
3.649999999999995e+000	1.208640e+000
3.699999999999995e+000	1.225197e+000
3.749999999999995e+000	1.241753e+000
3.799999999999995e+000	1.258310e+000
3.849999999999994e+000	1.274867e+000
3.899999999999994e+000	1.291423e+000
3.949999999999994e+000	1.307980e+000
3.999999999999994e+000	1.324537e+000
4.049999999999994e+000	1.341094e+000
4.099999999999993e+000	1.357650e+000
4.149999999999993e+000	1.374207e+000
4.199999999999993e+000	1.390764e+000
4.249999999999993e+000	1.407320e+000
4.299999999999993e+000	1.423877e+000
4.349999999999993e+000	1.440434e+000
4.399999999999992e+000	1.456991e+000
4.449999999999992e+000	1.473547e+000
4.499999999999992e+000	1.490104e+000
4.549999999999992e+000	1.506661e+000
4.599999999999992e+000	1.523217e+000
4.649999999999992e+000	1.539774e+000
4.699999999999991e+000	1.556331e+000
4.749999999999991e+000	1.572888e+000
4.799999999999991e+000	1.589444e+000
4.849999999999991e+000	1.606001e+000
4.899999999999991e+000	1.622558e+000
4.949999999999990e+000	1.639114e+000
5.000000000000000e+000	1.655671e+000
Step Information: Run=8  (Run: 8/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.666377e-002
1.000000000000000e-001	3.332753e-002
1.500000000000000e-001	4.999130e-002
2.000000000000000e-001	6.665507e-002
2.500000000000000e-001	8.331884e-002
3.000000000000000e-001	9.998260e-002
3.500000000000000e-001	1.166464e-001
4.000000000000000e-001	1.333101e-001
4.500000000000000e-001	1.499739e-001
4.999999999999999e-001	1.666377e-001
5.499999999999999e-001	1.833014e-001
6.000000000000000e-001	1.999652e-001
6.500000000000000e-001	2.166290e-001
7.000000000000001e-001	2.332927e-001
7.500000000000001e-001	2.499565e-001
